old_period,new_period,value,year
_NULL,AUTO,820,2009
_NULL,BOTTOM,5176,2009
_NULL,NEW,16826,2009
_NULL,TOP,330,2009
_AUTO,AUTO,4700,2009
_AUTO,BOTTOM,56,2009
_AUTO,TOP,9,2009
_AUTO,WARM,220,2009
_BOTTOM,AUTO,575,2009
_BOTTOM,BOTTOM,18031,2009
_BOTTOM,TOP,1488,2009
_BOTTOM,WARM,9313,2009
_NEW,AUTO,538,2009
_NEW,BOTTOM,6109,2009
_NEW,TOP,1078,2009
_NEW,WARM,5589,2009
_TOP,AUTO,215,2009
_TOP,BOTTOM,1517,2009
_TOP,TOP,2869,2009
_TOP,WARM,728,2009
_NULL,AUTO,553,2010
_NULL,BOTTOM,1572,2010
_NULL,NEW,11721,2010
_NULL,TOP,107,2010
_AUTO,AUTO,6479,2010
_AUTO,BOTTOM,73,2010
_AUTO,TOP,16,2010
_AUTO,WARM,280,2010
_BOTTOM,AUTO,481,2010
_BOTTOM,BOTTOM,19765,2010
_BOTTOM,TOP,1569,2010
_BOTTOM,WARM,9074,2010
_NEW,AUTO,602,2010
_NEW,BOTTOM,6366,2010
_NEW,TOP,1024,2010
_NEW,WARM,8834,2010
_TOP,AUTO,150,2010
_TOP,BOTTOM,1569,2010
_TOP,TOP,3308,2010
_TOP,WARM,747,2010
_WARM,AUTO,190,2010
_WARM,BOTTOM,4422,2010
_WARM,COLD,10845,2010
_WARM,TOP,393,2010
_NULL,AUTO,534,2011
_NULL,BOTTOM,535,2011
_NULL,NEW,9008,2011
_NULL,TOP,45,2011
_AUTO,AUTO,8069,2011
_AUTO,BOTTOM,105,2011
_AUTO,TOP,10,2011
_AUTO,WARM,271,2011
_BOTTOM,AUTO,551,2011
_BOTTOM,BOTTOM,21533,2011
_BOTTOM,TOP,2167,2011
_BOTTOM,WARM,9516,2011
_COLD,AUTO,54,2011
_COLD,BOTTOM,1203,2011
_COLD,LOST,9508,2011
_COLD,TOP,80,2011
_NEW,AUTO,467,2011
_NEW,BOTTOM,4601,2011
_NEW,TOP,904,2011
_NEW,WARM,5749,2011
_TOP,AUTO,219,2011
_TOP,BOTTOM,1373,2011
_TOP,TOP,3986,2011
_TOP,WARM,839,2011
_WARM,AUTO,206,2011
_WARM,BOTTOM,5051,2011
_WARM,COLD,13220,2011
_WARM,TOP,458,2011
_NULL,AUTO,437,2012
_NULL,BOTTOM,690,2012
_NULL,NEW,11769,2012
_NULL,TOP,54,2012
_AUTO,AUTO,9634,2012
_AUTO,BOTTOM,90,2012
_AUTO,TOP,15,2012
_AUTO,WARM,361,2012
_BOTTOM,AUTO,338,2012
_BOTTOM,BOTTOM,23253,2012
_BOTTOM,TOP,2245,2012
_BOTTOM,WARM,8565,2012
_COLD,AUTO,30,2012
_COLD,BOTTOM,1825,2012
_COLD,LOST,11254,2012
_COLD,TOP,111,2012
_LOST,AUTO,8,2012
_LOST,BOTTOM,515,2012
_LOST,TOP,48,2012
_NEW,AUTO,227,2012
_NEW,BOTTOM,3892,2012
_NEW,TOP,694,2012
_NEW,WARM,4195,2012
_TOP,AUTO,199,2012
_TOP,BOTTOM,1748,2012
_TOP,TOP,4786,2012
_TOP,WARM,917,2012
_WARM,AUTO,80,2012
_WARM,BOTTOM,5309,2012
_WARM,COLD,10420,2012
_WARM,TOP,566,2012
_NULL,AUTO,1183,2013
_NULL,BOTTOM,836,2013
_NULL,NEW,13779,2013
_NULL,TOP,70,2013
_AUTO,AUTO,10456,2013
_AUTO,BOTTOM,90,2013
_AUTO,TOP,21,2013
_AUTO,WARM,386,2013
_BOTTOM,AUTO,400,2013
_BOTTOM,BOTTOM,23950,2013
_BOTTOM,TOP,2504,2013
_BOTTOM,WARM,10468,2013
_COLD,AUTO,49,2013
_COLD,BOTTOM,1297,2013
_COLD,LOST,8958,2013
_COLD,TOP,116,2013
_LOST,AUTO,12,2013
_LOST,BOTTOM,446,2013
_LOST,TOP,38,2013
_NEW,AUTO,354,2013
_NEW,BOTTOM,4724,2013
_NEW,TOP,930,2013
_NEW,WARM,5761,2013
_TOP,AUTO,175,2013
_TOP,BOTTOM,1777,2013
_TOP,TOP,5456,2013
_TOP,WARM,1111,2013
_WARM,AUTO,151,2013
_WARM,BOTTOM,4113,2013
_WARM,COLD,9211,2013
_WARM,TOP,563,2013
_NULL,AUTO,1591,2014
_NULL,BOTTOM,1334,2014
_NULL,NEW,16841,2014
_NULL,TOP,151,2014
_AUTO,AUTO,12223,2014
_AUTO,BOTTOM,115,2014
_AUTO,TOP,21,2014
_AUTO,WARM,421,2014
_BOTTOM,AUTO,426,2014
_BOTTOM,BOTTOM,24479,2014
_BOTTOM,TOP,2568,2014
_BOTTOM,WARM,9760,2014
_COLD,AUTO,37,2014
_COLD,BOTTOM,1151,2014
_COLD,LOST,7936,2014
_COLD,TOP,87,2014
_LOST,AUTO,14,2014
_LOST,BOTTOM,543,2014
_LOST,TOP,59,2014
_NEW,AUTO,586,2014
_NEW,BOTTOM,5772,2014
_NEW,TOP,1055,2014
_NEW,WARM,6366,2014
_TOP,AUTO,255,2014
_TOP,BOTTOM,2138,2014
_TOP,TOP,6110,2014
_TOP,WARM,1195,2014
_WARM,AUTO,123,2014
_WARM,BOTTOM,5558,2014
_WARM,COLD,11338,2014
_WARM,TOP,707,2014
_NULL,AUTO,1691,2015
_NULL,BOTTOM,764,2015
_NULL,NEW,12771,2015
_NULL,TOP,82,2015
_AUTO,AUTO,14496,2015
_AUTO,BOTTOM,111,2015
_AUTO,TOP,12,2015
_AUTO,WARM,636,2015
_BOTTOM,AUTO,510,2015
_BOTTOM,BOTTOM,25632,2015
_BOTTOM,TOP,2549,2015
_BOTTOM,WARM,12399,2015
_COLD,AUTO,40,2015
_COLD,BOTTOM,1358,2015
_COLD,LOST,9816,2015
_COLD,TOP,124,2015
_LOST,AUTO,8,2015
_LOST,BOTTOM,319,2015
_LOST,TOP,39,2015
_NEW,AUTO,518,2015
_NEW,BOTTOM,6663,2015
_NEW,TOP,1151,2015
_NEW,WARM,8509,2015
_TOP,AUTO,244,2015
_TOP,BOTTOM,2593,2015
_TOP,TOP,6300,2015
_TOP,WARM,1621,2015
_WARM,AUTO,146,2015
_WARM,BOTTOM,4835,2015
_WARM,COLD,12186,2015
_WARM,TOP,575,2015
_NULL,AUTO,2450,2016
_NULL,BOTTOM,833,2016
_NULL,NEW,16313,2016
_NULL,TOP,90,2016
_AUTO,AUTO,16770,2016
_AUTO,BOTTOM,119,2016
_AUTO,TOP,42,2016
_AUTO,WARM,722,2016
_BOTTOM,AUTO,586,2016
_BOTTOM,BOTTOM,26571,2016
_BOTTOM,TOP,3157,2016
_BOTTOM,WARM,11961,2016
_COLD,AUTO,37,2016
_COLD,BOTTOM,1299,2016
_COLD,LOST,10725,2016
_COLD,TOP,125,2016
_LOST,AUTO,17,2016
_LOST,BOTTOM,518,2016
_LOST,TOP,42,2016
_NEW,AUTO,497,2016
_NEW,BOTTOM,4901,2016
_NEW,TOP,1096,2016
_NEW,WARM,6277,2016
_TOP,AUTO,385,2016
_TOP,BOTTOM,1944,2016
_TOP,TOP,6974,2016
_TOP,WARM,1529,2016
_WARM,AUTO,212,2016
_WARM,BOTTOM,6514,2016
_WARM,COLD,15529,2016
_WARM,TOP,910,2016
_NULL,AUTO,2699,2017
_NULL,BOTTOM,1061,2017
_NULL,NEW,14403,2017
_NULL,TOP,157,2017
_AUTO,AUTO,22667,2017
_AUTO,BOTTOM,136,2017
_AUTO,TOP,40,2017
_AUTO,WARM,967,2017
_BOTTOM,AUTO,538,2017
_BOTTOM,BOTTOM,26852,2017
_BOTTOM,TOP,2739,2017
_BOTTOM,WARM,13258,2017
_COLD,AUTO,55,2017
_COLD,BOTTOM,1273,2017
_COLD,LOST,12187,2017
_COLD,TOP,192,2017
_LOST,AUTO,29,2017
_LOST,BOTTOM,656,2017
_LOST,TOP,104,2017
_NEW,AUTO,292,2017
_NEW,BOTTOM,3544,2017
_NEW,TOP,1014,2017
_NEW,WARM,5531,2017
_TOP,AUTO,331,2017
_TOP,BOTTOM,2455,2017
_TOP,TOP,8487,2017
_TOP,WARM,2247,2017
_WARM,AUTO,204,2017
_WARM,BOTTOM,5777,2017
_WARM,COLD,16871,2017
_WARM,TOP,1030,2017
_NULL,AUTO,2453,2018
_NULL,BOTTOM,615,2018
_NULL,NEW,10381,2018
_NULL,TOP,100,2018
_AUTO,AUTO,19957,2018
_AUTO,BOTTOM,135,2018
_AUTO,TOP,36,2018
_AUTO,WARM,826,2018
_BOTTOM,AUTO,477,2018
_BOTTOM,BOTTOM,26871,2018
_BOTTOM,TOP,2923,2018
_BOTTOM,WARM,12428,2018
_COLD,AUTO,46,2018
_COLD,BOTTOM,1609,2018
_COLD,LOST,13706,2018
_COLD,TOP,168,2018
_LOST,AUTO,14,2018
_LOST,BOTTOM,357,2018
_LOST,TOP,53,2018
_NEW,AUTO,394,2018
_NEW,BOTTOM,5853,2018
_NEW,TOP,1413,2018
_NEW,WARM,8653,2018
_TOP,AUTO,310,2018
_TOP,BOTTOM,2201,2018
_TOP,TOP,7950,2018
_TOP,WARM,1975,2018
_WARM,AUTO,159,2018
_WARM,BOTTOM,5746,2018
_WARM,COLD,13707,2018
_WARM,TOP,877,2018
